K,method_id,label,throughput_mbps,se_bps_per_hz
50,random,Random,88.19782297800685,4.409891148900343
50,random,Random,44.35910846005141,2.2179554230025706
50,random,Random,38.81673903438219,1.9408369517191093
50,random,Random,83.37909284372908,4.168954642186454
50,random,Random,31.568074188149335,1.5784037094074668
50,random,Random,88.45612248954787,4.422806124477393
50,random,Random,82.68004990504366,4.134002495252183
50,random,Random,71.93996561269572,3.5969982806347853
50,random,Random,103.3730558708312,5.168652793541559
50,random,Random,95.35795576324273,4.767897788162136
50,random,Random,70.85814631681697,3.5429073158408486
50,random,Random,65.11816968119408,3.2559084840597037
50,random,Random,83.75283033623845,4.187641516811922
50,random,Random,93.25789860761982,4.6628949303809915
50,random,Random,73.82629028601485,3.6913145143007426
50,random,Random,109.18114291763023,5.459057145881511
50,random,Random,80.64203893799734,4.032101946899867
50,random,Random,89.67661699660366,4.483830849830182
50,random,Random,75.65646570039019,3.7828232850195094
50,random,Random,31.495480994190693,1.5747740497095346
50,random,Random,103.11762842808412,5.155881421404206
50,random,Random,81.46831441764719,4.07341572088236
50,random,Random,93.80294083850237,4.690147041925118
50,random,Random,64.31937269297566,3.215968634648783
50,random,Random,80.55085443430261,4.027542721715131
50,random,Random,73.37336222301867,3.6686681111509336
50,random,Random,49.92860180737335,2.4964300903686674
50,random,Random,62.52121602884963,3.1260608014424816
50,random,Random,57.10999166799701,2.8554995833998507
50,random,Random,82.04459170806822,4.102229585403411
50,random,Random,87.76991482717426,4.388495741358713
50,random,Random,66.24413723598877,3.3122068617994387
50,random,Random,91.12012402262202,4.556006201131101
50,random,Random,98.09165155857974,4.904582577928987
50,random,Random,24.62504500267596,1.2312522501337981
50,random,Random,77.82238857007869,3.8911194285039343
50,random,Random,93.55054875401976,4.677527437700988
50,random,Random,98.67433033407774,4.933716516703886
50,random,Random,71.7080717251684,3.5854035862584195
50,random,Random,82.59726001312711,4.129863000656356
50,random,Random,99.05558989908616,4.952779494954308
50,random,Random,85.5452700383426,4.27726350191713
50,random,Random,83.16464571436794,4.158232285718397
50,random,Random,67.71861310683958,3.385930655341979
50,random,Random,88.95149001182808,4.447574500591404
50,random,Random,24.16096568701102,1.2080482843505511
50,random,Random,46.88913077882025,2.344456538941013
50,random,Random,76.08351893413513,3.8041759467067564
50,random,Random,103.52846626966172,5.176423313483086
50,random,Random,81.31842551718442,4.065921275859221
50,random,Random,44.71429418133482,2.235714709066741
50,random,Random,66.51276483000727,3.3256382415003634
50,random,Random,62.7585123597078,3.13792561798539
50,random,Random,101.35112441351266,5.067556220675633
50,random,Random,74.87642363507598,3.743821181753799
50,random,Random,45.866326812412105,2.2933163406206054
50,random,Random,66.04307903417038,3.3021539517085188
50,random,Random,84.13517846663335,4.206758923331668
50,random,Random,52.40621818362594,2.620310909181297
50,random,Random,28.194351037196295,1.4097175518598146
50,random,Random,18.063062665292538,0.903153133264627
50,random,Random,43.30915852079561,2.165457926039781
50,random,Random,80.9532749363309,4.047663746816545
50,random,Random,104.79056234160939,5.23952811708047
50,random,Random,96.66292038435164,4.833146019217582
50,random,Random,84.98769831667337,4.2493849158336685
50,random,Random,105.76528916298255,5.288264458149127
50,random,Random,61.45921078113375,3.0729605390566874
50,random,Random,106.21528720608174,5.310764360304087
50,random,Random,68.56464608997666,3.428232304498833
50,random,Random,90.67726974855071,4.533863487427536
50,random,Random,23.264548247771533,1.1632274123885766
50,random,Random,110.19257008393986,5.509628504196993
50,random,Random,60.15062273691531,3.0075311368457656
50,random,Random,66.55325104673001,3.3276625523365007
50,random,Random,75.81669480043196,3.7908347400215985
50,random,Random,73.5488993215688,3.6774449660784403
50,random,Random,71.59136072491346,3.579568036245673
50,random,Random,66.69308940518364,3.3346544702591823
50,random,Random,81.56275334293257,4.0781376671466285
50,random,Random,98.1794530640564,4.90897265320282
50,random,Random,75.49051390755895,3.7745256953779474
50,random,Random,97.28608547841131,4.864304273920565
50,random,Random,81.04207420142536,4.052103710071268
50,random,Random,85.40336248393419,4.27016812419671
50,random,Random,75.26447273361339,3.7632236366806695
50,random,Random,96.758202183687,4.83791010918435
50,random,Random,31.771814161926656,1.5885907080963328
50,random,Random,99.2488293274529,4.962441466372645
50,random,Random,74.44455557140358,3.7222277785701787
50,random,Random,80.10006765782877,4.005003382891439
50,random,Random,56.59715782130111,2.8298578910650556
50,random,Random,20.23606223530286,1.0118031117651431
50,random,Random,96.21861736684019,4.81093086834201
50,random,Random,64.73636129965807,3.236818064982904
50,random,Random,31.960414032989693,1.5980207016494845
50,random,Random,20.64526222248819,1.0322631111244094
50,random,Random,69.5473610581606,3.47736805290803
50,random,Random,21.60786894158126,1.080393447079063
50,random,Random,44.07734442524709,2.2038672212623545
50,random,Random,84.06644967884873,4.203322483942436
50,random,Random,61.855916894184126,3.0927958447092063
50,random,Random,76.7102782480391,3.835513912401955
50,random,Random,23.591951614644326,1.1795975807322163
50,random,Random,8.575321110167478,0.4287660555083739
50,random,Random,80.636119066844,4.0318059533422
50,random,Random,95.52599643511928,4.7762998217559645
50,random,Random,6.888432397782221,0.3444216198891111
50,random,Random,92.97035215605054,4.6485176078025265
50,random,Random,79.54466574902206,3.9772332874511025
50,random,Random,22.704994803038993,1.1352497401519497
50,random,Random,93.08432559373924,4.654216279686962
50,random,Random,68.8743605743737,3.443718028718685
50,random,Random,52.03637557735049,2.6018187788675244
50,random,Random,41.229173860677854,2.0614586930338925
50,random,Random,75.11998443517385,3.755999221758693
50,random,Random,55.85351707360513,2.7926758536802567
50,random,Random,88.87742706091149,4.443871353045575
50,random,Random,58.72904980295796,2.936452490147898
50,random,Random,92.37022882073184,4.618511441036592
50,random,Random,27.50532613221783,1.3752663066108917
50,random,Random,99.1162813886609,4.955814069433044
50,random,Random,64.88477225517288,3.244238612758644
50,random,Random,105.9675772950973,5.2983788647548655
50,random,Random,71.95813720141697,3.5979068600708484
50,random,Random,23.04628097483302,1.152314048741651
50,random,Random,70.31023206049504,3.5155116030247515
50,random,Random,102.85180937185905,5.142590468592952
50,random,Random,55.1154022931727,2.755770114658635
50,random,Random,33.55665919571821,1.6778329597859107
50,random,Random,76.31181489687678,3.8155907448438393
50,random,Random,62.86542283657155,3.1432711418285773
50,random,Random,48.75936561289122,2.437968280644561
50,random,Random,89.66179055893642,4.483089527946821
50,random,Random,105.57845206392454,5.278922603196228
50,random,Random,80.48882495307387,4.0244412476536935
50,random,Random,102.02101371920209,5.101050685960105
50,random,Random,56.333011848058696,2.816650592402935
50,random,Random,78.6114256566412,3.93057128283206
50,random,Random,66.72652407597894,3.336326203798947
50,random,Random,97.74016365944874,4.887008182972437
50,random,Random,2.1283346389355238,0.10641673194677617
50,random,Random,46.54468256652158,2.327234128326079
