K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges,avgThroughputMbps,p5ThroughputMbps
200,random,Random,Random,2.2677739361611233,0.3765411120819087,1.3921157988916986,15.0,7.9925999999999995,3128.95,45.35547872322246,7.530822241638174
200,gao,Gao Matching,GaoMatching,2.2678410216725053,0.3775942808282959,1.3921571170875422,15.0,7.9925999999999995,3126.47,45.35682043345011,7.551885616565918
200,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.1631158162060324,0.3620531129635815,1.32931117817757,21.275,7.9925999999999995,4103.68,43.26231632412065,7.24106225927163
200,beam_weighted,Beam-Weighted Threshold,Proposed,1.5999794018185944,0.2682824951807001,0.9931611186549512,54.135,7.5104750000000005,12326.86,31.99958803637189,5.365649903614002
200,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.2914736224114747,0.3789810945314049,1.407530324008241,12.64,7.5104750000000005,12326.865,45.82947244822949,7.579621890628098
200,mussbah,Mussbah Beam Graph,Proposed,8.467652646044439e-05,0.0,5.3972414847360034e-05,160.705,7.5104750000000005,19796.565,0.0016935305292088876,0.0
250,random,Random,Random,2.044677468162323,0.2948298145620557,1.395961415971992,15.0,7.9988,4894.355,40.893549363246464,5.896596291241114
250,gao,Gao Matching,GaoMatching,2.045403820154912,0.29755553946738167,1.396425435785859,15.0,7.999200000000001,4874.54,40.90807640309824,5.951110789347633
250,topn,AP-Top-N (N=8),H3TopAPAdaptive,1.89452172231249,0.27835406559188186,1.2959465176434861,25.015,7.9988,6408.835,37.8904344462498,5.5670813118376365
250,beam_weighted,Beam-Weighted Threshold,Proposed,1.2651906871848624,0.18626648208857838,0.8710235089537732,65.935,7.741199999999999,19296.735,25.303813743697248,3.7253296417715673
250,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.041415501440186,0.2953184278090406,1.3852563807767484,14.22,7.741275000000001,19296.46,40.82831002880372,5.906368556180812
250,mussbah,Mussbah Beam Graph,Proposed,0.0,0.0,0.0,195.4,7.741199999999999,30964.71,0.0,0.0
300,random,Random,Random,1.8790221600482295,0.24908191339647354,1.3869924949429582,15.0,7.9998000000000005,7037.62,37.580443200964595,4.981638267929471
300,gao,Gao Matching,GaoMatching,1.8803253741917247,0.2528718227608385,1.3879545521691723,15.0,7.9998000000000005,6962.425,37.6065074838345,5.057436455216771
300,topn,AP-Top-N (N=8),H3TopAPAdaptive,1.6833623278735312,0.229860306435713,1.246251919471695,29.21,7.9998000000000005,9263.535,33.66724655747063,4.59720612871426
300,beam_weighted,Beam-Weighted Threshold,Proposed,1.0065815277678811,0.1371016304983199,0.7497127331178339,77.21,7.8629,27785.135,20.131630555357624,2.742032609966398
300,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,1.865585155886684,0.2501024129563921,1.3636925749144075,14.94,7.863125,27783.615,37.31170311773368,5.002048259127841
300,mussbah,Mussbah Beam Graph,Proposed,0.0,0.0,0.0,229.135,7.8629,44619.045,0.0,0.0
