tau_p,scheme,n_samples,p5_mbps,p5_ci_low,p5_ci_high,p5_ci_half_width,p5_se
20,"Structured access (no bisection, δ=0.3)",20000,5.874830577852077,5.780821727415357,5.964812350575174,0.09199531157990837,0.04717929845873072
20,"Structured access (no bisection, δ=0.5)",20000,5.646044247794015,5.567823341804483,5.731124842606417,0.08165075040096692,0.038745653303075375
20,Top-AP coloring (N=10),20000,5.923991254895082,5.834317360364271,6.026830429192115,0.0962565344139219,0.050455155115233456
20,Top-AP coloring (N=3),20000,5.612985671663387,5.511988460985661,5.692425465612399,0.09021850231336925,0.04717370984833547
20,Top-AP coloring (N=5),20000,5.753314512961699,5.659249098596995,5.8409027710016455,0.09082683620232501,0.048152991472060674
20,Upper bound,20000,6.747942500838029,6.67686374153149,6.837655111417646,0.08039568494307758,0.04185619052453549
25,Gao matching,20000,5.591235110246653,5.476588860733502,5.693340887229894,0.10837601324819612,0.052366253284331594
25,Graph coloring (full bisection),20000,5.601859449833329,5.505234470091583,5.691202662260759,0.0929840960845878,0.04672214734629018
25,"Graph coloring (no bisection, θ=0.6)",20000,5.598240795926038,5.525811219597116,5.663096131789078,0.06864245609598107,0.03472499040121463
25,"Graph coloring (no bisection, θ=0.9)",20000,5.891077419124785,5.790996456850632,5.970541547239025,0.08977254519419642,0.04549911583572617
25,Random,20000,5.277894434265929,5.165433823455843,5.388459603369895,0.11151288995702568,0.060653571049094746
25,Structured access (full bisection),20000,5.807414866747927,5.729416990954045,5.885337394818305,0.07796020193213016,0.041001274934973575
25,"Structured access (no bisection, δ=0.3)",20000,5.823097363953361,5.726494599754622,5.891160978314919,0.08233318928014866,0.04431284250665908
25,"Structured access (no bisection, δ=0.5)",20000,5.629528995754957,5.510523450700977,5.728853305416092,0.10916492735755767,0.052449545391248
25,Top-AP coloring (N=10),20000,5.860374866632014,5.766159134764761,5.9216316579689385,0.07773626160208869,0.042937975176683574
25,Top-AP coloring (N=3),20000,5.607729520741529,5.529899511074369,5.675595394203948,0.07284794156478958,0.03624062780901409
25,Top-AP coloring (N=5),20000,5.6760598983743416,5.5874884987885824,5.7545193148604135,0.0835154080359155,0.046967330018984635
25,Upper bound,20000,6.471217293114147,6.3695556834240605,6.556393841283071,0.09341907892950507,0.047673832116782125
30,Gao matching,20000,5.600808474369584,5.526580457785638,5.6785992475886,0.07600939490148084,0.041457809479384655
30,Graph coloring (full bisection),20000,5.8921449764752865,5.817370767960132,5.972335517787557,0.07748237491371235,0.04179788064163818
30,"Graph coloring (no bisection, θ=0.6)",20000,5.596751181575359,5.510634194707215,5.689147713541088,0.08925675941693623,0.04464025774802875
30,"Graph coloring (no bisection, θ=0.9)",20000,5.894898274100275,5.813169586042682,5.970667382691026,0.07874889832417198,0.04072287789061483
30,Random,20000,5.30990678186327,5.242658593374067,5.38416217445603,0.07075179054098157,0.035474012774042836
30,Structured access (full bisection),20000,5.867069418785989,5.8006888177113725,5.95129883162317,0.0753050069558987,0.03916911787363745
30,"Structured access (no bisection, δ=0.3)",20000,5.851005618615323,5.762458666310909,5.931209436445969,0.08437538506752995,0.04389037441461321
30,"Structured access (no bisection, δ=0.5)",20000,5.678340135136627,5.597287948877561,5.758379613112931,0.08054583211768485,0.04460197391933122
30,Top-AP coloring (N=10),20000,5.8106614514556805,5.744172342857267,5.881004907948413,0.06841628254557319,0.03940234663250039
30,Top-AP coloring (N=3),20000,5.589466354301355,5.516760400940281,5.675387460431125,0.07931352974542216,0.04300007411542677
30,Top-AP coloring (N=5),20000,5.651777869878118,5.572525447582052,5.722874910022032,0.07517473121998997,0.03758688842585263
30,Upper bound,20000,6.346950514040957,6.285504121691572,6.425235536725815,0.0698657075171214,0.035491342164023484
