N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,37.434433702493344,1.8717216851246674
8,50,random,Random,29.421585308616056,1.471079265430803
8,50,random,Random,116.67642119648194,5.833821059824097
8,50,random,Random,90.57818850927055,4.528909425463527
8,50,random,Random,95.02492576393743,4.751246288196872
8,50,random,Random,51.424410015697156,2.571220500784858
8,50,random,Random,41.338286153154634,2.066914307657732
8,50,random,Random,72.62628183399292,3.631314091699646
8,50,random,Random,69.33293775477078,3.4666468877385395
8,50,random,Random,85.79730817678382,4.289865408839191
8,50,random,Random,39.61712679676798,1.980856339838399
8,50,random,Random,33.25573249428697,1.6627866247143483
8,50,random,Random,114.17148646672693,5.708574323336347
8,50,random,Random,87.30682403911372,4.365341201955686
8,50,random,Random,99.11285396634128,4.955642698317064
8,50,random,Random,24.220711631905907,1.2110355815952953
8,50,random,Random,71.85246099841426,3.592623049920713
8,50,random,Random,68.8695338072322,3.44347669036161
8,50,random,Random,51.45570121029557,2.5727850605147786
8,50,random,Random,59.73124234250615,2.9865621171253074
8,50,random,Random,71.61035324720118,3.5805176623600588
8,50,random,Random,9.537973204442972,0.4768986602221486
8,50,random,Random,65.59026325416927,3.2795131627084637
8,50,random,Random,51.82971050478557,2.5914855252392783
8,50,random,Random,94.85103467629735,4.742551733814867
8,50,random,Random,3.5021401618376227,0.17510700809188112
8,50,random,Random,79.49865796778711,3.9749328983893557
8,50,random,Random,64.85054722143404,3.2425273610717023
8,50,random,Random,66.19806271932403,3.3099031359662017
8,50,random,Random,97.49177256547883,4.8745886282739415
8,50,random,Random,79.01318716337448,3.9506593581687244
8,50,random,Random,52.44622772516392,2.622311386258196
8,50,random,Random,76.08352806590989,3.804176403295495
8,50,random,Random,94.21503679881431,4.710751839940715
8,50,random,Random,90.43958449212779,4.5219792246063895
8,50,random,Random,98.02896517723354,4.901448258861677
8,50,random,Random,70.05533124047625,3.5027665620238126
8,50,random,Random,83.20968376976633,4.160484188488317
8,50,random,Random,32.382487810517325,1.6191243905258663
8,50,random,Random,55.88861798242499,2.7944308991212496
8,50,random,Random,32.19664903226341,1.6098324516131706
8,50,random,Random,52.03986954101637,2.6019934770508186
8,50,random,Random,70.54476383440229,3.5272381917201145
8,50,random,Random,78.54597685514358,3.9272988427571787
8,50,random,Random,93.72434658806698,4.686217329403349
8,50,random,Random,77.45355190430847,3.8726775952154235
8,50,random,Random,60.92930580334558,3.0464652901672786
8,50,random,Random,75.22111299347715,3.7610556496738576
8,50,random,Random,25.870291205509854,1.2935145602754927
8,50,random,Random,64.84649203518912,3.2423246017594556
8,50,random,Random,79.27864169998783,3.9639320849993913
8,50,random,Random,30.09085551174637,1.5045427755873184
8,50,random,Random,104.33024433196923,5.216512216598462
8,50,random,Random,74.87201407249492,3.7436007036247463
8,50,random,Random,70.41426132879518,3.520713066439759
8,50,random,Random,82.28177278411098,4.114088639205549
8,50,random,Random,99.7506528578451,4.987532642892255
8,50,random,Random,95.6998716542144,4.784993582710721
8,50,random,Random,106.54492948214303,5.3272464741071515
8,50,random,Random,13.624287326850684,0.6812143663425342
8,50,random,Random,98.82306824454463,4.941153412227231
8,50,random,Random,19.36639134077693,0.9683195670388464
8,50,random,Random,72.20461319692501,3.6102306598462506
8,50,random,Random,113.47550412138725,5.6737752060693625
8,50,random,Random,23.003666853444678,1.1501833426722339
8,50,random,Random,76.22810426139802,3.811405213069901
8,50,random,Random,32.49640955007671,1.6248204775038355
8,50,random,Random,104.10449588341805,5.205224794170903
8,50,random,Random,74.79800704841017,3.7399003524205088
8,50,random,Random,44.05016716561475,2.202508358280738
8,50,random,Random,91.16214787003831,4.558107393501916
8,50,random,Random,96.70722571502236,4.835361285751118
8,50,random,Random,95.71614660138327,4.785807330069163
8,50,random,Random,79.83300253147185,3.9916501265735924
8,50,random,Random,48.447822139875804,2.4223911069937905
8,50,random,Random,98.2210461366712,4.91105230683356
8,50,random,Random,75.39384357880596,3.7696921789402977
8,50,random,Random,57.600891631606835,2.8800445815803415
8,50,random,Random,78.67037657619495,3.933518828809748
8,50,random,Random,26.544742864165983,1.3272371432082992
8,50,random,Random,88.2870348889838,4.41435174444919
8,50,random,Random,47.23205655051069,2.3616028275255343
8,50,random,Random,70.59718452887353,3.529859226443677
8,50,random,Random,46.05159698818161,2.30257984940908
8,50,random,Random,90.38868778004037,4.5194343890020185
8,50,random,Random,74.96452349160049,3.748226174580024
