K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges,avgThroughputMbps,p5ThroughputMbps
40,beam_weighted,Beam-Weighted Threshold,Proposed,2.9522940694212885,0.4346327645173977,1.1789482564442966,12.08,4.8356,384.03,59.04588138842577,8.692655290347954
40,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.1797960939609076,0.5022472333299486,1.2622781879969927,3.0,4.9144,382.17,63.59592187921815,10.044944666598973
40,mussbah,Mussbah Beam Graph,Proposed,2.474717319961109,0.3641834892055026,0.9909527733762965,34.29,4.8356,769.615,49.49434639922219,7.283669784110051
45,random,Random,Random,3.1455579433257888,0.48955815605639724,1.2661767446310108,3.0,7.362399999999999,199.36,62.91115886651578,9.791163121127944
45,gao,Gao Matching,GaoMatching,3.1989921896274542,0.5643034345525775,1.2476174721235713,3.0,7.7124,157.73,63.97984379254908,11.28606869105155
45,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.957788441424224,0.45519280864329154,1.1914179136429426,10.935,7.362399999999999,401.65,59.15576882848448,9.10385617286583
45,beam_weighted,Beam-Weighted Threshold,Proposed,2.8903314767498274,0.43858995816341506,1.2264966696538053,13.03,5.134049999999999,481.31,57.806629534996546,8.771799163268302
45,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.1353073209756213,0.5164198290962342,1.3213649687475624,3.0,5.2423,478.415,62.70614641951243,10.328396581924684
45,mussbah,Mussbah Beam Graph,Proposed,2.3622552592983515,0.35748731555343294,1.0056999370513073,37.965,5.134049999999999,977.02,47.24510518596703,7.149746311068658
50,random,Random,Random,3.0423594407545895,0.4085863573982703,1.2959752252736876,3.0,7.5152,249.805,60.84718881509179,8.171727147965406
50,gao,Gao Matching,GaoMatching,3.0971931457795043,0.4510127477333061,1.2782389923884778,3.0,7.8828,187.24,61.94386291559009,9.020254954666122
50,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.8401299538140075,0.38393125124179317,1.210848917545891,11.96,7.5152,497.17,56.802599076280146,7.678625024835863
50,beam_weighted,Beam-Weighted Threshold,Proposed,2.772498246722643,0.36908407866932713,1.240252212147328,14.145,5.4408,597.93,55.44996493445285,7.381681573386542
50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.0383449951361743,0.4375676999039096,1.3487691961942796,3.0,5.5749499999999985,593.425,60.76689990272348,8.751353998078192
50,mussbah,Mussbah Beam Graph,Proposed,2.202965690774462,0.2924467956534623,0.9893661488154948,41.985,5.4408,1209.195,44.05931381548924,5.848935913069246
